😀;दाँत दिखाता चेहरा;खीस|खुश|चेहरा|मजाकिया
⚪;सफ़ेद वृत्त;ज्यामिति|ज्यामिती|सफेद वृत्त
🟥;लाल वर्ग;आकृति|ज्यामिति|लाल|लाल वर्गाकार|वर्ग
🟧;नारंगी रंग का वर्ग;आकृति|ज्यामिति|नारंगी|नारंगी रंग|नारंगी वर्गाकार|वर्ग
🟨;पीला वर्ग;आकृति|ज्यामिति|पीला|पीला वर्गाकार|पीली|वर्ग
🟩;हरा वर्ग;आकृति|ज्यामिति|वर्ग|हरा|हरा वर्गाकार|हरी
🟦;नीला वर्ग;आकृति|ज्यामिति|नीला|नीला वर्गाकार|नीली|वर्ग
🟪;बैंगनी वर्ग;आकृति|ज्यामिति|बैंगनी|बैंगनी वर्गाकार|वर्ग
🟫;भूरा वर्ग;आकृति|ज्यामिति|भूरा|भूरा वर्गाकार|भूरी|वर्ग
⬛;काला बड़ा वर्ग;ज्यामिति|वर्ग
⬜;बड़ा सफ़ेद वर्ग;ज्यामिति|बड़ा वर्ग|बड़ा सफेद वर्ग|वर्ग
◼️;काला मध्यम वर्ग;ज्यामिति|ज्यामितिक
◻️;सफ़ेद मध्यम वर्ग;ज्यामिति|वर्ग|सफेद मध्यम वर्ग
◾;काला मध्यम-छोटा वर्ग;ज्यामिति|ज्यामिती
◽;सफ़ेद मध्यम-छोटा वर्ग;ज्यामिति|ज्यामितीय|वर्ग|सफेद मध्यम-छोटा वर्ग
▪️;काला छोटा वर्ग;ज्यामिति|वर्ग
▫️;सफ़ेद छोटा वर्ग;ज्यामिति|ज्यामिती|सफेद छोटा वर्ग
🔶;बड़ा नारंगी हीरा;नारंगी|बड़ा हीरा|हीरा
🔷;बड़ा नीला हीरा;नीला|बड़ा हीरा|हीरा
🔸;छोटा नारंगी हीरा;छोटा हीरा|नारंगी|हीरा
🔹;छोटा नीला हीरा;छोटा हीरा|नीला|हीरा
🔺;ऊपर की ओर इशारा करता लाल त्रिभुज;ऊपर|ऊपर दिखाता लाल त्रिभुज|ज्यामिति|लाल
🔻;नीचे की ओर इशारा करता लाल त्रिभुज;ज्यामिति|नीचे|नीचे दिखाता लाल त्रिभुज|लाल
💠;डॉट वाला हीरा;ज्यामिति|डायमंड|डॉट के साथ हीरा|बिंदू वाला हीरा|हीरा
🔘;रेडियो बटन;ज्यामिति|बटन|रेडियो
🔳;सफ़ेद वर्ग बटन;ज्यामिति|बटन|वर्ग|सफेद वर्ग बटन
🔲;काला वर्ग बटन;कला वर्ग बटन|ज्यामिति|बटन|वर्ग
🏁;चौखाने वाला झंडा;खेल|चौखाना|चौखाने|चौखाने वाला ध्वज|जीत|झंडा|ध्वज|रेसिंग|समाप्त
🚩;तिकोना झंडा;गोल्फ|चौकी|झंडा|निर्माण
🎌;क्रॉस झंडे;क्रॉस झंडे, जापान के क्रॉस झंडे|जापान के क्रॉस झंडे|ध्वज|समारोह
🏴;काला झंडा;लहराता|लहराता काला झंडा
🏳️;सफेद झंडा;लहराता|लहराता सफ़ेद झंडा|सफ़ेद झंडा
🏳️‍🌈;इंद्रधनुषी झंडा;इंद्रधनुष|उभयलिंगी|एलजीबीटी|झंडा|ट्रांसजेंडर|प्राइड|समलैंगिक
🏳️‍⚧️;ट्रांसजेंडर झंडा;झंडा|ट्रांसजेंडर
🏴‍☠️;समुद्री दस्यु का झंडा;खजाना|जॉली रोजर|लूट|समुद्री डाकू
🇦🇨;झंडा: असेंशन द्वीप;झंडा
🇦🇩;झंडा: एंडोरा;झंडा
🇦🇪;झंडा: संयुक्त अरब अमीरात;झंडा
🇦🇫;झंडा: अफ़गानिस्तान;झंडा
🇦🇬;झंडा: एंटिगुआ और बरबुडा;झंडा
🇦🇮;झंडा: एंग्विला;झंडा
🇦🇱;झंडा: अल्बानिया;झंडा
🇦🇲;झंडा: आर्मेनिया;झंडा
🇦🇴;झंडा: अंगोला;झंडा
🇦🇶;झंडा: अंटार्कटिका;झंडा
🇦🇷;झंडा: अर्जेंटीना;झंडा
🇦🇸;झंडा: अमेरिकी समोआ;झंडा
🇦🇹;झंडा: ऑस्ट्रिया;झंडा
🇦🇺;झंडा: ऑस्ट्रेलिया;झंडा
🇦🇼;झंडा: अरूबा;झंडा
🇦🇽;झंडा: एलैंड द्वीपसमूह;झंडा
🇦🇿;झंडा: अज़रबैजान;झंडा
🇧🇦;झंडा: बोस्निया और हर्ज़ेगोविना;झंडा
🇧🇧;झंडा: बारबाडोस;झंडा
