😀;মুখে দেঁতো হাসি;দেঁতো হাসি|মুখ|হাসি
➿;দুটি কার্লি লুপ;কুন্ডলী পাকানো|দ্বিগুণ|লুপ
〽️;অংশ পরিবর্তনের চিহ্ন;অংশ|চিহ্ন
✳️;আটটি -স্পোকের তারকাচিহ্ন;*|আটটি-স্পোক দিয়ে তৈরি তারা|তারকাচিহ্ন
✴️;আটটি পয়েন্টের তারা;*|তারা
❇️;জ্বলজ্বল করা;*|উজ্জ্বল|দ্যুতি
©️;কপিরাইট;c
®️;নিবন্ধিত;r|নথিভুক্ত|রেজিস্টার|রেজিস্টার করা হয়েছে
™️;ট্রেড মার্ক;TM|চিহ্ন|ট্রেডমার্ক
🫟;ছপাত;চলকে পড়া|ছলাৎ|দাগ|রং|হোলি
*️⃣;কিক্যাপ: *;কিক্যাপ
0️⃣;কিক্যাপ: 0;0|কিক্যাপ|শূন্য
1️⃣;কিক্যাপ: 1;1|এক|কিক্যাপ
2️⃣;কিক্যাপ: 2;2|কিক্যাপ|দুই
3️⃣;কিক্যাপ: 3;3|কিক্যাপ|তিন
4️⃣;কিক্যাপ: 4;4|কিক্যাপ|চার
5️⃣;কিক্যাপ: 5;5|কিক্যাপ|পাঁচ
6️⃣;কিক্যাপ: 6;6|কিক্যাপ|ছয়
7️⃣;কিক্যাপ: 7;7|কিক্যাপ|সাত
8️⃣;কিক্যাপ: 8;8|আট|কিক্যাপ
9️⃣;কিক্যাপ: 9;9|কিক্যাপ|নয়
🔟;কিক্যাপ: 10;কিক্যাপ
🔠;ইনপুট লাতিন বড় হাতের অক্ষর;অক্ষর|ইনপুট|কখগঘ|বড় হাতের অক্ষর|লাতিন
🔡;ইনপুট লাতিন ছোট হাতের অক্ষর;অক্ষর|ইনপুট|এ বি সি ডি|ছোট হাতের অক্ষর|লাতিন
🔢;ইনপুট নম্বর;1234|ইনপুট|নম্বর|নাম্বার|সংখ্যা
🔣;ইনপুট চিহ্ন;&|%|♪|〒|ইনপুট|চিহ্ন
🔤;ইনপুট লাতিন অক্ষর;অক্ষর|ইনপুট|এবিসি|কখগ|বর্ণমালা|লাতিন
🅰️;এ বোতাম;এ|রক্ত|রক্তের গ্রুপ|রক্তের বিভাগ
🆎;এ বি বোতাম;এবি|রক্ত
🅱️;বি বোতাম;বি|রক্ত
🆑;বর্গক্ষেত্রের সি এল;বোতাম|সিএল
🆒;বর্গক্ষেত্রের মধ্যে কুল;কুল|কুল বোতাম
🆓;বর্গক্ষেত্রের মধ্যে ফ্রী;বিনামূল্যে
ℹ️;তথ্য সূত্র;i চিহ্ন|চিহ্ন|তথ্য
🆔;বর্গাকার আইডি;আইডি|পরিচয়
Ⓜ️;বৃত্তে থাকা এম অক্ষর;এম|বৃত্ত
🆕;বর্গক্ষেত্রের মধ্যে নিউ;নতুন
🆖;বর্গক্ষেত্রের মধ্যে এন জি;এনজি চিহ্ন|এনজি বোতাম
🅾️;ও বোতাম;ইংরাজী ‘ও’ চিহ্ন|রক্ত
🆗;বর্গক্ষেত্রের মধ্যে ওকে;ঠিক আছে
🅿️;পি বোতাম;পার্কিং
🆘;বর্গক্ষেত্রের মধ্যে এস ও এস;এসওএস|সাহায্য
🆙;আপ! বোতাম;উপরে|উপরে‘ শীর্ষক চিহ্ন|বোতাম
🆚;বর্গাকার মধ্যে ভি এস (ভার্সেস);বনাম|বোতাম
🈁;বর্গাকার কাতাকানা কোকো;জাপানি|জাপানি ভাষায় ‘এখানে‘ বোতাম
🈂️;বর্গাকার কাতাকানাসা;জাপানি|জাপানি ভাষায় ‘সার্ভিং চার্জ’
🈷️;বর্গাকার মুন চিত্রলিপি;জাপানি
🈶;বর্গাকার বিদ্যমান চিত্রলিপি;জাপানি|জাপানি ভাষায় ‘বিনামূল্যে নয়‘
🈯;বর্গাকার আঙুলের চিত্রলিপি;জাপানি|জাপানি ভাষায় ‘রিজার্ভ’ বোতাম
🉐;গোলাকার সুবিধাজনক চিত্রলিপি;জাপানি|জাপানি ভাষায় ‘দরকষাকষি‘
🈹;বর্গাকার বিভক্ত চিত্রলিপি;জাপানি
🈚;বর্গাকার অপলাপের চিত্রলিপি;জাপানি|জাপানি ভাষায় ‘টাকা লাগবে না‘ বোতাম
🈲;বর্গাকার নিষিদ্ধ চিত্রলিপি;জাপানি|জাপানি ভাষায় ‘নিষিদ্ধ’
🉑;বৃত্তের মধ্যে স্বীকৃত চিত্রলিপি;চীনা|জাপানি
🈸;বর্গাকার প্রযোজ্য চিত্রলিপি;চিহ্ন|চীনা|জাপানি|জাপানি ভাষায় ‘অ্যাপ্লিকেশন’ বোতাম
🈴;বর্গাকার একত্রে চিত্রলিপি;চীনা|জাপানি
🈳;বর্গাকার খালি চিত্রলিপি;খালি|চিত্রলিপি|চিহ্ন|চীনা|জাপানি ভাষায় ‘খালি আছে‘ বোতাম|জাপানিজ
㊗️;গোলাকার অভিনন্দনের চিত্রলিপি;অভিনন্দন|চীনা|জাপানি|জাপানি ভাষায় ‘অভিনন্দন’ জানানোর বোতাম|নিশান|সংবর্ধনা
㊙️;গোলাকার গোপন চিত্রলিপি;গোপন|চীনা|জাপানি|জাপানি ভাষায় ‘গোপনীয়‘ বোতাম|নিশান
🈺;বর্গাকার অপারেটিং চিত্রলিপি;চীনা|জাপানি
🈵;বর্গাকার পূর্ণতার চিত্রলিপি;চীনা|জাপানি|জাপানি ভাষায় ‘চাকরি নেই’ বোতাম|বেকার
🔴;লাল বৃত্ত;জ্যামিতিক|বৃত্ত|লাল
🟠;কমলা বৃত্ত;কমলা|চিহ্ন|বৃত্ত
🟡;হদুল বৃত্ত;চিহ্ন|বৃত্ত|হলুদ
🟢;সবুজ বৃত্ত;চিহ্ন|বৃত্ত|সবুজ
🔵;নীল বৃত্ত;জ্যামিতিক|নীল|বৃত্ত
🟣;বেগুনী বৃত্ত;চিহ্ন|বৃত্ত|বেগুনী
🟤;বাদামি বৃত্ত;খয়েরি|চিহ্ন|বাদামি|বৃত্ত
⚫;কালো বৃত্ত;জ্যামিতিক|বৃত্ত
⚪;সাদা বৃত্ত;জ্যামিতিক|বৃত্ত
🟥;লাল বর্গক্ষেত্র;চিহ্ন|বর্গক্ষেত্র|লাল
🟧;কমলা বর্গক্ষেত্র;কমলা|চিহ্ন|বর্গক্ষেত্র
🟨;হলুদ বর্গক্ষেত্র;চিহ্ন|বর্গক্ষেত্র|হলুদ
🟩;সবুজ বর্গক্ষেত্র;চিহ্ন|বর্গক্ষেত্র|সবুজ
🟦;নীল বর্গক্ষেত্র;চিহ্ন|নীল|বর্গক্ষেত্র
🟪;বেগুনী বর্গক্ষেত্র;চিহ্ন|বর্গক্ষেত্র|বেগুনী
🟫;খয়েরি বর্গক্ষেত্র;খয়েরি|চিহ্ন|বর্গক্ষেত্র|বাদামি
⬛;কালো বড় বর্গক্ষেত্র;জ্যামিতিক|বর্গাকার
⬜;সাদা বড় বর্গক্ষেত্র;জ্যামিতিক|বর্গাকার
◼️;কালো মাঝারি বর্গক্ষেত্র;কালো মাঝারি সাইজের বর্গক্ষেত্র|চিহ্ন|জ্যামিতিক|বর্গাকার|বর্গাকৃতি
◻️;সাদা মাঝারি বর্গক্ষেত্র;জ্যামিতিক|বর্গাকার|সাদা মাঝারি সাইজের বর্গক্ষেত্র
◾;কালো মাঝারি ছোট বর্গক্ষেত্র;কালো মাঝারি ছোট সাইজের বর্গক্ষেত্র|জ্যামিতিক|বর্গাকার
◽;সাদা মাঝারি ছোট বর্গক্ষেত্র;জ্যামিতিক|বর্গাকার|সাদা মাঝারি ছোট সাইজের বর্গক্ষেত্র
▪️;কালো ছোট বর্গক্ষেত্র;জ্যামিতিক|বর্গাকার
▫️;সাদা ছোট বর্গক্ষেত্র;জ্যামিতিক|বর্গাকার
🔶;কমলা রঙের বড় হীরে;কমলা|জ্যামিতিক|ডায়মন্ড
