😀;کھل کے ہنستا چہرہ;چہرہ|کھلا|منہ|ہنسی
✳️;آٹھ کانٹوں والا اسٹیرسک;*|آٹھ|آٹھ کونوں والا ستارہ|اسٹیرسک|ستارہ|علامت|کانٹے
✴️;آٹھ کونوں والا ستارہ;*|آٹھ|ستارہ|علامت|کونے
❇️;چمک;*|روشنی|علامت|نور|نورانیت
©️;کاپی رائٹ;c|علامت
®️;رجسٹرڈ;r|اندراج شدہ|درج کیا ہوا|علامت
™️;تجارتی نشان;تجارت|ٹریڈ مارک|نشان
🫟;چھینٹے اڑانا;پینٹ|چھلکنا|داغ|ہولی
*️⃣;کی کیپ: *;کی کیپ
0️⃣;کی کیپ: 0;0|صفر|کی کیپ
1️⃣;کی کیپ: 1;1|ایک|کی کیپ
2️⃣;کی کیپ: 2;2|دو|کی کیپ
3️⃣;کی کیپ: 3;3|تین|کی کیپ
4️⃣;کی کیپ: 4;4|چار|کی کیپ
5️⃣;کی کیپ: 5;5|پانچ|کی کیپ
6️⃣;کی کیپ: 6;6|چھ|کی کیپ
7️⃣;کی کیپ: 7;7|سات|کی کیپ
8️⃣;کی کیپ: 8;8|آٹھ|کی کیپ
9️⃣;کی کیپ: 9;9|کی کیپ|نو
🔟;کی کیپ: 10;کی کیپ
🔠;ان پٹ لاطینی بڑے حروف;ABCD|ان پٹ|بڑے|حروف|داخلہ|لاطینی|مدخل
🔡;ان پٹ لاطینی چھوٹے حروف;abcd|ان پٹ|چھوٹے|حروف|داخلہ|لاطینی|مدخل
🔢;ان پٹ اعداد;1234 ان پٹ|اعداد|ان پٹ|داخلہ|مدخل
🔣;ان پٹ علامات;ان پٹ|داخلہ|علامات|مدخل
🔤;ان پٹ لاطینی حروف;abc|ان پٹ|حروف|حروف تہجی|داخلہ|لاطینی|مدخل
🅰️;A بٹن (خون کی قسم);بٹن|خون|قسم
🆎;AB بٹن (خون کی قسم);اے بی|خون
🅱️;B بٹن (خون کی قسم);b بٹن|بی|خون
🆑;CL بٹن;cl|چوکور
🆒;کول بٹن;بٹن|کول
🆓;مفت بٹن;مفت
ℹ️;معلومات;ماخذ|معلومات کا ماخذ
🆔;ID بٹن;id|پہچان|چوکور
Ⓜ️;گول M;m|حرف|دائرے میں M|گول
🆕;نیا بٹن;تازہ ترین|چوکور|نو|نیا
🆖;NG بٹن;ng|چوکور
🅾️;O بٹن (خون کی قسم);o|بٹن
🆗;اوکے بٹن;ok|ٹھیک ہے بٹن|چوکور|صحیح
🅿️;P بٹن;p|بٹن|پارکنگ|گاڑیاں رکھنے کی جگہ
🆘;SOS بٹن;sos|امداد|بٹن|چوکور|مدد|مدد درکار ہے
🆙;اوپر! بٹن;اوپر|بٹن|رفع|مرفوع
🆚;VS بٹن;vs|چوکور|مقابلا
🈁;جاپانی "یہاں" بٹن;اِدھر|جاپانی میں یہاں|چاپانی|چوکور|چوکور کٹاکانا کوکو|یہاں
🈂️;جاپانی "سروس چارج" بٹن;جاپانی|جاپانی میں خدمت کے چارجز|چوکور|چوکور کٹاکانا سا
🈷️;جاپانی "ماہانہ رقم" بٹن;تصویری علامت|جاپانی|جاپانی میں ماہانہ رقم|چاند|چوکور
🈶;جاپانی "مفت نہیں" بٹن;تصویری علامت|جاپانی|جاپانی میں مفت نہیں|چوکور|موجودگی
🈯;جاپانی "محفوظ" بٹن;انگلی|تصویری علامت|جاپانی|جاپانی میں مخصوص|چوکور
🉐;جاپانی "سودا بازی " بٹن;تصویری علامت|جاپانی|جاپانی میں بھاؤ تاؤ|دائرہ|فائدہ|گول فائدہ کی تصویری علامت
🈹;جاپانی "رعایت" بٹن;تصویری علامت|تقسیم|جاپانی|جاپانی میں چھوٹ|چوکور|چوکور تقسیم کی تصویری علامت
🈚;جاپانی "مفت" بٹن;تصویری علامت|جاپانی|چوکور|مفت|مفت کی چوکورتصویری علامت|نفی
🈲;جاپانی "ممنوع" بٹن;تصویری علامت|جاپانی|جاپانی میں ممنوع|چوکور|چوکور منع کی تصویری علامت|ممانعت
🉑;جاپانی "قابل قبول" بٹن;تصویری علامت|جاپانی میں قابلَ قبول|چینی|گول|گول منظور کی تصویری علامت|منظوری
🈸;جاپانی "اپلیکیشن" بٹن;اپلائی|تصویری علامت|جاپانی میں ایپلیکیشن|چوکور|چوکور اپلائی کی تصویری علامت|چینی
🈴;جاپانی "پاس کرنے کا گریڈ" بٹن;اکٹھے|تصویری علامت|جاپانی|جاپانی میں پاسنگ گریڈ|چوکور|چوکور اکٹھے کی تصویری علامت|چینی
🈳;جاپانی "خالی اسامی" علامت;تصویری علامت|جاپانی میں خالی|چوکور|چوکور خالی کی تصویری علامت|چینی|خالی
㊗️;جاپانی "مبارکباد" بٹن;تصویری علامت|جاپانی میں مبارک باد|چینی|گول|گول مبارکباردی تصویری علامت|مبارکباد
㊙️;جاپانی "خفیہ" بٹن;تصویری علامت|جاپانی میں خفیہ|چینی|خفیہ|گول|گول خفیہ کی تصویری علامت
🈺;جاپانی "کاروبار کے لیے کھلا" بٹن;آپریشن|تصویری علامت|جاپانی میں کاروبار کے لیے کلا ہے|چوکور|چوکور آپریشن کی تصویری علامت|چینی
🈵;جاپانی "کوئی اسامی نہیں" علامت;تصویری علامت|جاپانی|جاپانی میں خالیی نہیں|چوکور|چوکور کاملیت کی تصویری علامت|چینی|کاملیت
🔴;سرخ دائرہ;جیومیٹری|چکر|دائرہ|سرخ|گول|گولا
🟠;نارنجی دائرہ;اورنج سرکل|دائرہ|گول|نارنجی|نارنجی سرکل
🟡;پیلا دائرہ;پیلا|دائرہ|سرکل|گول|یلو سرکل
🟢;سبز دائرہ;دائرہ|سبز|سرکل|گرین سرکل|گول|ہرا سرکل
🔵;نیلا دائرہ;جیومیٹری|دائرہ|نیلا
🟣;ارغوانی دائرہ;ارغوانی|اودا|پرپل سرکل|جامنی|دائرہ|سرکل|گول
🟤;بھورا دائرہ;براؤن سرکل|بھورا|دائرہ|سرکل
⚫;کالا دائرہ;جیومیٹری|دائرہ|سیاہ دائرہ|کالا
⚪;سفید دائرہ;جیومیٹری|دائرہ|سفید
🟥;سرخ چوکور;چوکور|ریڈ اسکوائر|سرخ|لال|لال اسکوائر|مربع
🟧;نارنجی چوکور;اورنج اسکوائر|چوکور|مربع|نارنجی|نارنجی اسکوائر
🟨;پیلا چوکور;پیلا|پیلا اسکوائر|چوکور|یلو اسکوائر
🟩;سبز چوکور;اسکوائر|چوکور|سبز|گرین اسکوائر|مربع|ہرا اسکوائر
🟦;نیلا چوکور;اسکوائر|بلو اسکوائر|چوکور|مربع|نیلا
🟪;ارغوانی چوکور;ارغوانی|اسکوائر|اودا|پرپل اسکوائر|جامنی|جامنی رنگ کا مربع|چوکور|مربع
🟫;بھورا چوکور;براؤن|براؤن اسکوائر|بھورا|چوکور|خاکی اسکوائر
⬛;کالا بڑا چوکور;بڑا|جیومیٹری|چوکور|سیاہ|کالا
⬜;سفید بڑا چوکور;بڑا|جیومیٹری|چوکور|سفید
◼️;کالا میڈیم چوکور;جیومیٹری|چوکور|کالا|کالا رنگ|میڈیم
◻️;سفید میڈیم چوکور;جیومیٹری|چوکور|سفید|میڈِم
◾;کالا میڈیم چھوٹا چوکور;جیومیٹری|چھوٹا|چوکور|کالا|میڈیم
◽;سفید میڈِیم چھوٹا چوکور;جیومیٹری|چھوٹا|چوکور|سفید|میڈِم
▪️;کالا چھوٹا چوکور;جیومیٹری|چوکور|کالا
▫️;سفید چھوٹا چوکور;جیومیٹری|چھوٹا|چوکور|سفید
🔶;بڑا نارنجی ہیرا;جیومیٹری|نارنجی|ہیرا
🔷;بڑا نیلا ہیرا;جیومیٹری|نیلا|ہیرا
🔸;چھوٹا نارنجی ہیرا;جیومیٹری|نارنجی|ہیرا
🔹;چھوٹا نیلا ہیرا;جیومیٹری|نیلا|ہیرا
🔺;اوپر اشارہ کرتی سرخ مثلث;جیومیٹری|سرخ مثلث|مثلث|نارنجی
🔻;نیچے اشارہ کرتی سرخ مثلث;جیومیٹری|سرخ مثلث|مثلث|نارنجی
💠;نکتے والا ہیرا;جیومیٹری|نکتہ|نگینہ|ہیرا
🔘;ریڈیو بٹن;بٹن|جیومیٹری|ریڈیو
🔳;سفید چوکور بٹن;بٹن|جیومیٹری|چوکور|سفید
🔲;سیاہ چوکور بٹن;بٹن|جیومیٹری|چوکور|کالا
🏁;خانوں والا جھنڈا;جھنڈا|جیت|چوکڑی والا پرچم|دوڑ|ریس کا پرچم|ریسنگ|فطح|کھیل|گاڑی کی دوڑ کی حریفائی|گاڑیاں
🚩;تکونی جھنڈا;پرچم|پھریرا|تعمیراتی جھنڈا|جھنڈا|علم|گولف|نشان
🎌;کراس کی شکل میں جھنڈے;پرچم|جاپانی|جشن|جھنڈے|علم|کراس|نشان
🏴;لہراتا کالا جھنڈا;جھنڈا|سوگواری|کالا|لہراتا|محرم
🏳️;لہراتا سفید جھنڈا;جھنڈا|دوستی کا نشان|سفید|علم|لہراتا|نشان
🏳️‍🌈;قوس قزح پرچم;پرچم|رینبو|قوس قزح
🏳️‍⚧️;ٹرانزینڈر پرچم;پرچم|ٹرانزینڈر|سفید|گلابی|نیلی روشنی
🏴‍☠️;قزاقوں کا جھنڈا;جولی راجر|خزانہ|غارت گری|قزاق
🇦🇨;پرچم: اسینشن آئلینڈ;پرچم
🇦🇩;پرچم: انڈورا;پرچم
🇦🇪;پرچم: متحدہ عرب امارات;پرچم
🇦🇫;پرچم: افغانستان;پرچم
🇦🇬;پرچم: انٹیگوا اور باربودا;پرچم
🇦🇮;پرچم: انگوئیلا;پرچم
🇦🇱;پرچم: البانیہ;پرچم
🇦🇲;پرچم: آرمینیا;پرچم
🇦🇴;پرچم: انگولا;پرچم
🇦🇶;پرچم: انٹارکٹیکا;پرچم
🇦🇷;پرچم: ارجنٹینا;پرچم
🇦🇸;پرچم: امریکی ساموآ;پرچم
🇦🇹;پرچم: آسٹریا;پرچم
🇦🇺;پرچم: آسٹریلیا;پرچم
🇦🇼;پرچم: اروبا;پرچم
🇦🇽;پرچم: آلینڈ آئلینڈز;پرچم
🇦🇿;پرچم: آذربائیجان;پرچم
🇧🇦;پرچم: بوسنیا اور ہرزیگووینا;پرچم
🇧🇧;پرچم: بارباڈوس;پرچم
🇧🇩;پرچم: بنگلہ دیش;پرچم
🇧🇪;پرچم: بیلجیم;پرچم
🇧🇫;پرچم: برکینا فاسو;پرچم
🇧🇬;پرچم: بلغاریہ;پرچم
🇧🇭;پرچم: بحرین;پرچم
🇧🇮;پرچم: برونڈی;پرچم
🇧🇯;پرچم: بینن;پرچم
🇧🇱;پرچم: سینٹ برتھلیمی;پرچم
🇧🇲;پرچم: برمودا;پرچم
🇧🇳;پرچم: برونائی;پرچم
🇧🇴;پرچم: بولیویا;پرچم
🇧🇶;پرچم: کریبیائی نیدرلینڈز;پرچم
🇧🇷;پرچم: برازیل;پرچم
🇧🇸;پرچم: بہاماس;پرچم
🇧🇹;پرچم: بھوٹان;پرچم
🇧🇻;پرچم: بؤویٹ آئلینڈ;پرچم
🇧🇼;پرچم: بوتسوانا;پرچم
🇧🇾;پرچم: بیلاروس;پرچم
🇧🇿;پرچم: بیلائز;پرچم
🇨🇦;پرچم: کینیڈا;پرچم
🇨🇨;پرچم: کوکوس (کیلنگ) جزائر;پرچم
🇨🇩;پرچم: کانگو - کنشاسا;پرچم
🇨🇫;پرچم: وسط افریقی جمہوریہ;پرچم
🇨🇬;پرچم: کانگو - برازاویلے;پرچم
🇨🇭;پرچم: سوئٹزر لینڈ;پرچم
🇨🇮;پرچم: کوٹ ڈی آئیوری;پرچم
🇨🇰;پرچم: کک آئلینڈز;پرچم
🇨🇱;پرچم: چلی;پرچم
🇨🇲;پرچم: کیمرون;پرچم
🇨🇳;پرچم: چین;پرچم
🇨🇴;پرچم: کولمبیا;پرچم
🇨🇵;پرچم: کلپرٹن آئلینڈ;پرچم
🇨🇶;پرچم: سارک;پرچم
🇨🇷;پرچم: کوسٹا ریکا;پرچم
🇨🇺;پرچم: کیوبا;پرچم
🇨🇻;پرچم: کیپ ورڈی;پرچم
🇨🇼;پرچم: کیوراکاؤ;پرچم
🇨🇽;پرچم: جزیرہ کرسمس;پرچم
🇨🇾;پرچم: قبرص;پرچم
🇨🇿;پرچم: چیکیا;پرچم
🇩🇪;پرچم: جرمنی;پرچم
🇩🇬;پرچم: ڈائجو گارسیا;پرچم
🇩🇯;پرچم: جبوتی;پرچم
🇩🇰;پرچم: ڈنمارک;پرچم
🇩🇲;پرچم: ڈومنیکا;پرچم
🇩🇴;پرچم: جمہوریہ ڈومينيکن;پرچم
🇩🇿;پرچم: الجیریا;پرچم
🇪🇦;پرچم: سیئوٹا اور میلیلا;پرچم
🇪🇨;پرچم: ایکواڈور;پرچم
🇪🇪;پرچم: اسٹونیا;پرچم
🇪🇬;پرچم: مصر;پرچم
🇪🇭;پرچم: مغربی صحارا;پرچم
🇪🇷;پرچم: اریٹیریا;پرچم
🇪🇸;پرچم: ہسپانیہ;پرچم
🇪🇹;پرچم: ایتھوپیا;پرچم
🇪🇺;پرچم: یوروپی یونین;پرچم
🇫🇮;پرچم: فن لینڈ;پرچم
🇫🇯;پرچم: فجی;پرچم
🇫🇰;پرچم: فاکلینڈ جزائر;پرچم
🇫🇲;پرچم: مائکرونیشیا;پرچم
🇫🇴;پرچم: جزائر فارو;پرچم
🇫🇷;پرچم: فرانس;پرچم
🇬🇦;پرچم: گیبون;پرچم
🇬🇧;پرچم: سلطنت متحدہ;پرچم
🇬🇩;پرچم: گریناڈا;پرچم
🇬🇪;پرچم: جارجیا;پرچم
🇬🇫;پرچم: فرینچ گیانا;پرچم
🇬🇬;پرچم: گوئرنسی;پرچم
🇬🇭;پرچم: گھانا;پرچم
🇬🇮;پرچم: جبل الطارق;پرچم
🇬🇱;پرچم: گرین لینڈ;پرچم
🇬🇲;پرچم: گیمبیا;پرچم
🇬🇳;پرچم: گنی;پرچم
🇬🇵;پرچم: گواڈیلوپ;پرچم
🇬🇶;پرچم: استوائی گیانا;پرچم
🇬🇷;پرچم: یونان;پرچم
🇬🇸;پرچم: جنوبی جارجیا اور جنوبی سینڈوچ جزائر;پرچم
🇬🇹;پرچم: گواٹے مالا;پرچم
🇬🇺;پرچم: گوام;پرچم
🇬🇼;پرچم: گنی بساؤ;پرچم
🇬🇾;پرچم: گیانا;پرچم
🇭🇰;پرچم: ہانگ کانگ SAR چین;پرچم
🇭🇲;پرچم: ہیرڈ جزیرہ و میکڈولینڈ جزائر;پرچم
🇭🇳;پرچم: ہونڈاروس;پرچم
🇭🇷;پرچم: کروشیا;پرچم
🇭🇹;پرچم: ہیٹی;پرچم
🇭🇺;پرچم: ہنگری;پرچم
🇮🇨;پرچم: کینری آئلینڈز;پرچم
🇮🇩;پرچم: انڈونیشیا;پرچم
🇮🇪;پرچم: آئرلینڈ;پرچم
🇮🇱;پرچم: اسرائیل;پرچم
🇮🇲;پرچم: آئل آف مین;پرچم
🇮🇳;پرچم: بھارت;پرچم
🇮🇴;پرچم: برطانوی بحر ہند کا علاقہ;پرچم
🇮🇶;پرچم: عراق;پرچم
🇮🇷;پرچم: ایران;پرچم
🇮🇸;پرچم: آئس لینڈ;پرچم
🇮🇹;پرچم: اٹلی;پرچم
🇯🇪;پرچم: جرسی;پرچم
🇯🇲;پرچم: جمائیکا;پرچم
🇯🇴;پرچم: اردن;پرچم
🇯🇵;پرچم: جاپان;پرچم
🇰🇪;پرچم: کینیا;پرچم
🇰🇬;پرچم: کرغزستان;پرچم
🇰🇭;پرچم: کمبوڈیا;پرچم
🇰🇮;پرچم: کریباتی;پرچم
🇰🇲;پرچم: کوموروس;پرچم
🇰🇳;پرچم: سینٹ کٹس اور نیویس;پرچم
🇰🇵;پرچم: شمالی کوریا;پرچم
🇰🇷;پرچم: جنوبی کوریا;پرچم
🇰🇼;پرچم: کویت;پرچم
🇰🇾;پرچم: کیمین آئلینڈز;پرچم
🇰🇿;پرچم: قزاخستان;پرچم
🇱🇦;پرچم: لاؤس;پرچم
🇱🇧;پرچم: لبنان;پرچم
🇱🇨;پرچم: سینٹ لوسیا;پرچم
🇱🇮;پرچم: لیشٹنسٹائن;پرچم
🇱🇰;پرچم: سری لنکا;پرچم
🇱🇷;پرچم: لائبیریا;پرچم
🇱🇸;پرچم: لیسوتھو;پرچم
🇱🇹;پرچم: لیتھونیا;پرچم
🇱🇺;پرچم: لکسمبرگ;پرچم
🇱🇻;پرچم: لٹویا;پرچم
🇱🇾;پرچم: لیبیا;پرچم
🇲🇦;پرچم: مراکش;پرچم
🇲🇨;پرچم: موناکو;پرچم
🇲🇩;پرچم: مالدووا;پرچم
🇲🇪;پرچم: مونٹے نیگرو;پرچم
🇲🇫;پرچم: سینٹ مارٹن;پرچم
🇲🇬;پرچم: مڈغاسکر;پرچم
🇲🇭;پرچم: مارشل آئلینڈز;پرچم
🇲🇰;پرچم: شمالی مقدونیہ;پرچم
🇲🇱;پرچم: مالی;پرچم
🇲🇲;پرچم: میانمار (برما);پرچم
🇲🇳;پرچم: منگولیا;پرچم
🇲🇴;پرچم: مکاؤ SAR چین;پرچم
🇲🇵;پرچم: شمالی ماریانا آئلینڈز;پرچم
🇲🇶;پرچم: مارٹینک;پرچم
🇲🇷;پرچم: موریطانیہ;پرچم
🇲🇸;پرچم: مونٹسیراٹ;پرچم
🇲🇹;پرچم: مالٹا;پرچم
🇲🇺;پرچم: ماریشس;پرچم
🇲🇻;پرچم: مالدیپ;پرچم
🇲🇼;پرچم: ملاوی;پرچم
🇲🇽;پرچم: میکسیکو;پرچم
🇲🇾;پرچم: ملائشیا;پرچم
🇲🇿;پرچم: موزمبیق;پرچم
🇳🇦;پرچم: نامیبیا;پرچم
🇳🇨;پرچم: نیو کلیڈونیا;پرچم
🇳🇪;پرچم: نائجر;پرچم
🇳🇫;پرچم: نارفوک آئلینڈ;پرچم
🇳🇬;پرچم: نائجیریا;پرچم
🇳🇮;پرچم: نکاراگووا;پرچم
🇳🇱;پرچم: نیدر لینڈز;پرچم
🇳🇴;پرچم: ناروے;پرچم
🇳🇵;پرچم: نیپال;پرچم
🇳🇷;پرچم: نؤرو;پرچم
🇳🇺;پرچم: نیئو;پرچم
🇳🇿;پرچم: نیوزی لینڈ;پرچم
🇴🇲;پرچم: عمان;پرچم
🇵🇦;پرچم: پانامہ;پرچم
🇵🇪;پرچم: پیرو;پرچم
🇵🇫;پرچم: فرانسیسی پولینیشیا;پرچم
🇵🇬;پرچم: پاپوآ نیو گنی;پرچم
🇵🇭;پرچم: فلپائن;پرچم
🇵🇰;پرچم: پاکستان;پرچم
🇵🇱;پرچم: پولینڈ;پرچم
🇵🇲;پرچم: سینٹ پیئر اور میکلیئون;پرچم
🇵🇳;پرچم: پٹکائرن جزائر;پرچم
🇵🇷;پرچم: پیورٹو ریکو;پرچم
🇵🇸;پرچم: فلسطینی خطے;پرچم
🇵🇹;پرچم: پرتگال;پرچم
🇵🇼;پرچم: پلاؤ;پرچم
🇵🇾;پرچم: پیراگوئے;پرچم
🇶🇦;پرچم: قطر;پرچم
🇷🇪;پرچم: ری یونین;پرچم
🇷🇴;پرچم: رومانیہ;پرچم
🇷🇸;پرچم: سربیا;پرچم
🇷🇺;پرچم: روس;پرچم
🇷🇼;پرچم: روانڈا;پرچم
🇸🇦;پرچم: سعودی عرب;پرچم
🇸🇧;پرچم: سولومن آئلینڈز;پرچم
🇸🇨;پرچم: سشلیز;پرچم
🇸🇩;پرچم: سوڈان;پرچم
